Source	Target	num_triplets	ENVs	SignPattern	Overlap	MutualInformation	ConditionalMutualInformation	InteractionInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	DPI_num_MI_rank1	DPI_num_MI_rank2	DPI_num_MI_rank3	COMBI_SP_OL_II_DPI	portion_nan_Source_Target	portion_nan_Source_Target_ENV	presence_X	presence_Y	presence_X_AND_Y	presence_X_OR_Y	percentage_co_occurrence
bn_ASV_000367	en_ASV_00696	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.512892	0.586483;0.036773	0.073591;-0.476119	nan;0.014985	2.000000;3.000000	1.000000;1.000000	0	1	1	1.000000;1.000000	0.000000	0.000000;0.000000	43	51	38	56	67.857143
bn_ASV_000367	en_ASV_00715	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	98.319328;100.000000	0.586088	0.580803;0.042133	-0.005285;-0.543954	0.914086;0.000999	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	48	39	52	75.000000
bn_ASV_000367	en_ASV_00207	1	ENV_Temp	0.000000	100.000000	0.228388	-0.020536	-0.248924	0.042957	1.000000	0.000000	1	0	0	0.000000	0.000000	0.000000	43	48	4	87	4.597701
bn_ASV_000367	bp_ASV_000474	1	ENV_Day_length_Hours_light	0.000000	100.000000	0.464458	0.013004	-0.451454	0.385614	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	43	47	32	58	55.172414
bn_ASV_000367	bn_ASV_000479	1	ENV_Temp	0.000000	100.000000	0.484835	-0.043951	-0.528787	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	43	31	29	45	64.444444
bn_ASV_000367	ep_ASV_00084	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.515911	0.580624;-0.003617	0.064713;-0.519528	nan;0.019980	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	47	35	55	63.636364
bn_ASV_000367	ep_ASV_00317	1	ENV_Day_length_Hours_light	0.000000	100.000000	0.524331	0.169679	-0.354652	0.291708	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	43	52	36	59	61.016949
bn_ASV_000367	en_ASV_00248	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.223976	-0.006999;0.036367	-0.230975;-0.187610	0.205794;0.610390	1.000000;1.000000	0.000000;0.000000	2	0	0	1.000000;1.000000	0.000000	0.000000;0.000000	43	48	2	89	2.247191
bn_ASV_000367	en_ASV_00583	1	ENV_Temp	0.000000	100.000000	0.622105	0.120895	-0.501211	0.022977	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	43	49	37	55	67.272727
bn_ASV_000367	bp_ASV_000398	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.361464	0.053586;0.487177	-0.307879;0.125712	0.154845;nan	2.000000;2.000000	1.000000;1.000000	0	2	0	1.000000;1.000000	0.000000	0.000000;0.000000	43	46	34	55	61.818182
bn_ASV_000367	bp_ASV_000135	1	ENV_Day_length_Hours_light	0.000000	100.000000	0.544442	0.642561	0.098119	nan	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000	43	46	33	56	58.928571
bn_ASV_000367	bp_ASV_000348	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.461634	0.081315;0.066134	-0.380318;-0.395499	0.431568;0.082917	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	46	31	58	53.448276
bn_ASV_000367	bn_ASV_000652	1	ENV_Temp	0.000000	100.000000	0.471043	0.072582	-0.398462	0.591409	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	43	31	27	47	57.446809
bn_ASV_000367	bn_ASV_000484	1	ENV_Temp	0.000000	100.000000	0.360213	0.453407	0.093194	nan	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000	43	40	30	53	56.603774
bn_ASV_000367	bn_ASV_000596	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	98.319328;100.000000	0.530149	0.022768;0.593599	-0.507381;0.063450	0.040959;nan	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	31	29	45	64.444444
bn_ASV_000367	ep_ASV_00070	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.563136	0.645674;0.072744	0.082538;-0.490392	nan;0.021978	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	46	37	52	71.153846
bn_ASV_000367	ep_ASV_00158	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	95.370370;100.000000	0.208741	0.104172;-0.020536	-0.104569;-0.229277	0.414585;0.014985	2.000000;1.000000	1.000000;0.000000	1	1	0	1.000000;0.000000	0.000000	0.000000;0.000000	43	51	4	90	4.444444
bn_ASV_000367	en_ASV_00470	1	ENV_Temp	0.000000	100.000000	0.218515	0.005880	-0.212635	0.120879	1.000000	0.000000	1	0	0	1.000000	0.000000	0.000000	43	51	6	88	6.818182
bn_ASV_000367	bp_ASV_000290	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.558101	0.634742;0.526256	0.076640;-0.031846	nan;0.921079	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	45	34	54	62.962963
bn_ASV_000367	ep_ASV_00087	1	ENV_Day_length_Hours_light	0.000000	100.000000	0.271135	0.067375	-0.203760	0.392607	1.000000	0.000000	1	0	0	1.000000	0.000000	0.000000	43	44	31	56	55.357143
bn_ASV_000367	en_ASV_00327	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.245465	-0.033304;0.004222	-0.278769;-0.241243	0.061938;0.520480	1.000000;1.000000	0.000000;0.000000	2	0	0	1.000000;1.000000	0.000000	0.000000;0.000000	43	50	1	92	1.086957
bn_ASV_000367	en_ASV_00672	1	ENV_Temp	0.000000	100.000000	0.442329	0.090207	-0.352122	0.118881	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	43	49	35	57	61.403509
bn_ASV_000367	en_ASV_01180	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.586790	0.052955;0.089234	-0.533836;-0.497556	0.353646;0.452547	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	47	35	55	63.636364
bn_ASV_000367	bn_ASV_000717	1	ENV_Temp	0.000000	98.319328	0.596495	0.103856	-0.492639	0.180819	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	43	34	32	45	71.111111
bn_ASV_000367	ep_ASV_00040	1	ENV_Temp	0.000000	100.000000	0.358870	0.486852	0.127982	nan	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000	43	45	30	58	51.724138
bn_ASV_000367	ep_ASV_00288	1	ENV_Temp	0.000000	100.000000	0.262268	0.117089	-0.145179	0.660340	1.000000	0.000000	1	0	0	1.000000	0.000000	0.000000	43	51	1	93	1.075269
bn_ASV_000367	bp_ASV_000367	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.517026	0.625405;0.058361	0.108380;-0.458664	nan;0.028971	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	43	34	52	65.384615
bn_ASV_000367	bp_ASV_000402	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.399371	0.585196;0.080597	0.185824;-0.318774	nan;0.034965	2.000000;2.000000	1.000000;1.000000	0	2	0	1.000000;1.000000	0.000000	0.000000;0.000000	43	43	31	55	56.363636
bn_ASV_000367	ep_ASV_00246	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;96.666667	0.473634	0.104614;0.054807	-0.369021;-0.418827	0.553447;0.022977	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	43	32	54	59.259259
bn_ASV_000367	ep_ASV_00264	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.344797	0.169182;0.082026	-0.175615;-0.262771	0.717283;0.123876	2.000000;2.000000	1.000000;1.000000	0	2	0	1.000000;1.000000	0.000000	0.000000;0.000000	43	44	32	55	58.181818
