Source	Target	association_score	MutualInformation	num_Triplets	percentage_co_occurrence
ASV_1215_16S_3_200	OTU_698_18S_3_200	0.683693613395584	0.789639	0	88.888889
ASV_122_16S_022_3	ASV_185_16S_022_3	0.559521284371017	0.84954	0	88.235294
ASV_122_16S_022_3	ASV_299_16S_022_3	-0.615206821148181	0.542557	0	21.73913
ASV_1223_16S_022_3	ASV_905_16S_3_200	0.55952	0.519532	0	80
ASV_1223_16S_022_3	OTU_842_18S_3_200	0.630119323730469	0.49773	0	80
ASV_1223_16S_022_3	OTU_985_18S_022_3	0.95722222328186	0.519532	0	100
ASV_1227_16S_022_3	ASV_1227_16S_3_200	0.78833819083053	0.317659	0	50
ASV_123_16S_022_3	ASV_175_16S_022_3	0.531827990430551	0.682226	0	93.75
ASV_123_16S_022_3	ASV_301_16S_022_3	0.858396913212981	0.682226	0	93.333333
ASV_1233_16S_022_3	OTU_1172_18S_3_200	0.62076610326767	0.573132	0	77.777778
ASV_1235_16S_022_3	ASV_1581_16S_022_3	0.725982427597046	0.542557	0	83.333333
ASV_124_16S_022_3	ASV_1361_16S_022_3	0.63467001914978	0.747632	0	90
ASV_124_16S_022_3	ASV_268_16S_022_3	0.577209764677199	0.713342	0	70
ASV_124_16S_022_3	ASV_640_16S_022_3	0.778827095835761	0.897734	0	100
ASV_1244_16S_022_3	OTU_1562_18S_3_200	0.833435192597811	0.356297	0	60
ASV_1244_16S_022_3	OTU_487_18S_3_200	0.749202847480774	0.414059	0	60
ASV_1250_16S_022_3	ASV_1303_16S_022_3	0.644456684589386	0.874893	0	91.666667
ASV_1250_16S_022_3	ASV_1374_16S_022_3	0.837991535663605	1.056863	0	90.909091
ASV_1254_16S_022_3	ASV_610_16S_3_200	0.641436636447906	0.425809	0	57.142857
ASV_1254_16S_022_3	ASV_888_16S_3_200	0.637077867984772	0.673006	0	75
ASV_1257_16S_022_3	ASV_1332_16S_022_3	0.688717549578492	0.651204	0	75
ASV_1257_16S_022_3	ASV_2156_16S_3_200	0.570509672164917	0.46177	0	57.142857
ASV_1258_16S_022_3	ASV_1459_16S_022_3	0.695510787695812	0.46177	0	80
ASV_1258_16S_022_3	ASV_1686_16S_022_3	0.71571409702301	0.487679	0	83.333333
ASV_1258_16S_022_3	OTU_2322_18S_3_200	0.658637285232544	0.545441	0	83.333333
ASV_1258_16S_022_3	OTU_622_18S_3_200	0.609992948773501	0.603203	0	83.333333
ASV_126_16S_022_3	ASV_335_16S_022_3	0.524992048862802	0.635071	0	100
ASV_126_16S_022_3	ASV_466_16S_022_3	0.631977293165216	0.651104	0	94.736842
ASV_126_16S_022_3	OTU_162_18S_3_200	0.783755878173776	0.428738	0	89.473684
ASV_1265_16S_022_3	ASV_1270_16S_022_3	0.543126463890076	0.483572	0	80
ASV_1265_16S_022_3	ASV_1307_16S_022_3	0.987614561994233	0.625005	0	100
ASV_1265_16S_022_3	ASV_1748_16S_022_3	0.557908952236176	0.625005	0	83.333333
