Source	Target	association_score	num_Triplets	percentage_co_occurrence
ASV_35_16S_022_3	ASV_249_16S_022_3	0.625333250366655	0	81.818182
ASV_37_16S_022_3	ASV_249_16S_022_3	0.857808496152068	0	100.000000
ASV_237_16S_022_3	ASV_249_16S_022_3	0.575781610343098	0	95.454545
ASV_235_16S_022_3	ASV_253_16S_022_3	0.663446962833405	0	100.000000
ASV_157_16S_022_3	ASV_258_16S_022_3	0.845418989658356	0	90.909091
ASV_7_16S_022_3	ASV_263_16S_022_3	0.832559585571289	0	100.000000
ASV_27_16S_022_3	ASV_263_16S_022_3	-0.63182920217514	0	78.260870
ASV_83_16S_022_3	ASV_264_16S_022_3	0.899286737980721	0	94.736842
ASV_124_16S_022_3	ASV_268_16S_022_3	0.577209764677199	0	70.000000
ASV_170_16S_022_3	ASV_268_16S_022_3	0.649279236793518	0	58.333333
ASV_223_16S_022_3	ASV_268_16S_022_3	0.670466491420968	0	85.714286
ASV_179_16S_022_3	ASV_271_16S_022_3	0.598352313041687	0	78.571429
ASV_45_16S_022_3	ASV_273_16S_022_3	0.868830919265747	0	95.454545
ASV_74_16S_022_3	ASV_277_16S_022_3	0.690560281276703	0	87.500000
ASV_169_16S_022_3	ASV_277_16S_022_3	0.594768538143369	0	88.888889
ASV_106_16S_022_3	ASV_278_16S_022_3	-0.778593928911259	0	56.521739
ASV_187_16S_022_3	ASV_278_16S_022_3	0.601621925830841	0	93.750000
ASV_121_16S_022_3	ASV_284_16S_022_3	-0.568820984076842	0	93.333333
ASV_228_16S_022_3	ASV_287_16S_022_3	0.998407712984974	0	100.000000
ASV_276_16S_022_3	ASV_289_16S_022_3	-0.564036071300507	0	0.000000
ASV_217_16S_022_3	ASV_290_16S_022_3	0.698131203651428	0	75.000000
ASV_6_16S_022_3	ASV_298_16S_022_3	0.52712	0	63.636364
ASV_204_16S_022_3	ASV_298_16S_022_3	-0.616472464588262	0	39.130435
ASV_122_16S_022_3	ASV_299_16S_022_3	-0.615206821148181	0	21.739130
ASV_88_16S_022_3	ASV_300_16S_022_3	0.558212637901306	0	85.714286
ASV_248_16S_022_3	ASV_300_16S_022_3	0.58943784236908	0	62.500000
ASV_123_16S_022_3	ASV_301_16S_022_3	0.858396913212981	0	93.333333
ASV_179_16S_022_3	ASV_304_16S_022_3	0.657195687294006	0	76.470588
ASV_206_16S_022_3	ASV_304_16S_022_3	0.8971728682518	0	100.000000
ASV_184_16S_022_3	ASV_306_16S_022_3	0.68226874551345	0	71.428571
ASV_6_16S_022_3	ASV_307_16S_022_3	0.681625562569206	0	76.190476
ASV_162_16S_022_3	ASV_308_16S_022_3	-0.891894161701202	0	0.000000
ASV_299_16S_022_3	ASV_308_16S_022_3	0.529218137934036	0	100.000000
ASV_97_16S_022_3	ASV_309_16S_022_3	0.856187625539886	0	100.000000
ASV_145_16S_022_3	ASV_311_16S_022_3	0.626801252365112	0	78.571429
ASV_154_16S_022_3	ASV_316_16S_022_3	0.921032865594157	0	100.000000
ASV_67_16S_022_3	ASV_317_16S_022_3	0.632342854444799	0	84.210526
ASV_97_16S_022_3	ASV_317_16S_022_3	0.840700273022928	0	75.000000
ASV_189_16S_022_3	ASV_318_16S_022_3	-0.666919765898783	0	93.750000
ASV_161_16S_022_3	ASV_320_16S_022_3	0.610999364332116	0	92.307692
ASV_35_16S_022_3	ASV_324_16S_022_3	0.580836176872253	0	80.952381
ASV_89_16S_022_3	ASV_324_16S_022_3	0.778015673160553	0	95.238095
ASV_92_16S_022_3	ASV_325_16S_022_3	0.918775737285614	0	100.000000
ASV_110_16S_022_3	ASV_325_16S_022_3	0.59889028273615	0	100.000000
ASV_109_16S_022_3	ASV_327_16S_022_3	-0.552551238741182	0	13.043478
ASV_152_16S_022_3	ASV_328_16S_022_3	0.712233345012876	0	100.000000
ASV_130_16S_022_3	ASV_331_16S_022_3	0.563628792762756	0	60.000000
ASV_162_16S_022_3	ASV_334_16S_022_3	-0.653156886953715	0	8.695652
ASV_126_16S_022_3	ASV_335_16S_022_3	0.524992048862802	0	100.000000
ASV_149_16S_022_3	ASV_335_16S_022_3	0.61451	0	83.333333
ASV_65_16S_022_3	ASV_337_16S_022_3	0.793156017683715	0	94.444444
ASV_291_16S_022_3	ASV_340_16S_022_3	0.958724949583442	0	92.307692
ASV_276_16S_022_3	ASV_343_16S_022_3	-0.730718720723102	0	4.347826
