Source	Target	Occurrence	Occurrence_Percentage	Source_Kingdom	Source_DivisionPhylum	Target_Kingdom	Target_DivisionPhylum
OTU_1942_18S_022_3	OTU_203_18S_3_200	1	20	Eukaryota	Ochrophyta	Eukaryota	Ciliophora
OTU_1951_18S_3_200	OTU_3497_18S_3_200	1	20	Eukaryota	Ciliophora	Eukaryota	Opalozoa
OTU_1956_18S_022_3	OTU_1411_18S_3_200	2	40	Eukaryota	Cryptophyta	Eukaryota	Ochrophyta
OTU_1956_18S_022_3	OTU_2401_18S_3_200	2	40	Eukaryota	Cryptophyta	Eukaryota	Pseudofungi
OTU_1965_18S_022_3	OTU_4971_18S_022_3	1	20	Eukaryota	Ochrophyta	Eukaryota	Ciliophora
OTU_1966_18S_3_200	OTU_4005_18S_3_200	2	40	Eukaryota	Ochrophyta	Eukaryota	Pseudofungi
OTU_197_18S_022_3	OTU_197_18S_3_200	4	80	Eukaryota	Chlorophyta	Eukaryota	Chlorophyta
OTU_1986_18S_022_3	OTU_4227_18S_022_3	2	40	Eukaryota	Ochrophyta	Eukaryota	Choanoflagellida
OTU_1989_18S_022_3	OTU_279_18S_3_200	1	20	Eukaryota	Cryptophyta	Eukaryota	Ciliophora
OTU_199_18S_022_3	OTU_1516_18S_022_3	1	20	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_199_18S_022_3	OTU_3463_18S_3_200	1	20	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_199_18S_022_3	OTU_3703_18S_3_200	1	20	Eukaryota	Dinoflagellata	Eukaryota	Picozoa
OTU_1992_18S_022_3	OTU_4839_18S_022_3	1	20	Eukaryota	Opalozoa	Eukaryota	Cercozoa
OTU_2001_18S_022_3	OTU_2866_18S_022_3	1	20	Eukaryota	Haptophyta	Eukaryota	Haptophyta
OTU_2001_18S_022_3	OTU_3253_18S_022_3	1	20	Eukaryota	Haptophyta	Eukaryota	Opalozoa
OTU_2001_18S_022_3	OTU_5558_18S_022_3	1	20	Eukaryota	Haptophyta	Eukaryota	Haptophyta
OTU_2004_18S_022_3	ASV_1979_16S_3_200	2	40	Eukaryota	Choanoflagellida	Bacteria	Bacteroidota
OTU_2006_18S_3_200	OTU_2279_18S_3_200	2	40	Eukaryota	Ochrophyta	Eukaryota	Choanoflagellida
OTU_2008_18S_022_3	OTU_442_18S_3_200	1	20	Eukaryota	Dinoflagellata	Eukaryota	Haptophyta
OTU_201_18S_022_3	OTU_2612_18S_022_3	1	20	Eukaryota	Dinoflagellata	Eukaryota	Ciliophora
OTU_2015_18S_022_3	OTU_1326_18S_3_200	3	60	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2015_18S_022_3	OTU_3969_18S_022_3	2	40	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2025_18S_3_200	OTU_2198_18S_3_200	1	20	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2028_18S_022_3	OTU_2266_18S_3_200	1	20	Eukaryota	Cercozoa	Eukaryota	Opalozoa
OTU_2029_18S_022_3	OTU_1925_18S_3_200	2	40	Eukaryota	Telonemia	Eukaryota	Dinoflagellata
OTU_2029_18S_022_3	OTU_4430_18S_022_3	1	20	Eukaryota	Telonemia	Eukaryota	Chlorophyta
OTU_203_18S_022_3	OTU_1878_18S_3_200	1	20	Eukaryota	Ciliophora	Eukaryota	Ochrophyta
OTU_2046_18S_022_3	OTU_3293_18S_3_200	1	20	Eukaryota	Haptophyta	Eukaryota	Apicomplexa
OTU_2046_18S_022_3	OTU_3898_18S_022_3	1	20	Eukaryota	Haptophyta	Eukaryota	Ochrophyta
OTU_2046_18S_022_3	OTU_4747_18S_022_3	1	20	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
