Source	Target	Occurrence	Occurrence_Percentage	Source_Kingdom	Source_DivisionPhylum	Target_Kingdom	Target_DivisionPhylum
OTU_2669_18S_022_3	OTU_1059_18S_3_200	4	50	Eukaryota	Pseudofungi	Eukaryota	Ochrophyta
OTU_2679_18S_022_3	OTU_6610_18S_3_200	1	12.5	Eukaryota	Ochrophyta	Eukaryota	Telonemia
OTU_268_18S_3_200	OTU_1059_18S_3_200	4	50	Eukaryota	Pseudofungi	Eukaryota	Ochrophyta
OTU_2684_18S_022_3	OTU_4826_18S_022_3	3	37.5	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2688_18S_022_3	OTU_2401_18S_3_200	2	25	Eukaryota	Cryptophyta	Eukaryota	Pseudofungi
OTU_269_18S_022_3	OTU_302_18S_022_3	7	87.5	Eukaryota	Opalozoa	Eukaryota	Sagenista
OTU_2690_18S_022_3	OTU_3821_18S_022_3	3	37.5	Eukaryota	Ochrophyta	Eukaryota	Haptophyta
OTU_2690_18S_022_3	OTU_4556_18S_022_3	2	25	Eukaryota	Ochrophyta	Eukaryota	Dinoflagellata
OTU_2691_18S_022_3	OTU_2752_18S_3_200	4	50	Eukaryota	Cercozoa	Eukaryota	Chlorophyta
OTU_2692_18S_3_200	OTU_2816_18S_3_200	1	12.5	Eukaryota	unknown 18S	Eukaryota	Choanoflagellida
OTU_2698_18S_022_3	OTU_3728_18S_022_3	4	50	Eukaryota	Opalozoa	Eukaryota	Opalozoa
OTU_270_18S_022_3	OTU_438_18S_022_3	7	87.5	Eukaryota	Ciliophora	Eukaryota	Picozoa
OTU_2704_18S_022_3	OTU_2485_18S_3_200	3	37.5	Eukaryota	Opalozoa	Eukaryota	Choanoflagellida
OTU_271_18S_022_3	OTU_1585_18S_022_3	2	25	Eukaryota	Ochrophyta	Eukaryota	Cercozoa
OTU_271_18S_022_3	OTU_271_18S_3_200	3	37.5	Eukaryota	Ochrophyta	Eukaryota	Ochrophyta
OTU_271_18S_022_3	OTU_667_18S_022_3	3	37.5	Eukaryota	Ochrophyta	Eukaryota	Cercozoa
OTU_271_18S_022_3	OTU_969_18S_3_200	3	37.5	Eukaryota	Ochrophyta	Eukaryota	Mesomycetozoa
