Source	Target	association_score
ASV_207_16S_022_3	ASV_784_16S_022_3	0.802560014568383
ASV_744_16S_022_3	ASV_786_16S_022_3	0.979858934879303
ASV_102_16S_022_3	ASV_793_16S_022_3	0.730534040101215
ASV_476_16S_022_3	ASV_793_16S_022_3	0.732152655049613
ASV_540_16S_022_3	ASV_793_16S_022_3	0.613464653491974
ASV_310_16S_022_3	ASV_797_16S_022_3	0.7034560802616
ASV_455_16S_022_3	ASV_797_16S_022_3	0.572866857051849
ASV_210_16S_022_3	ASV_799_16S_022_3	0.607069969177246
ASV_199_16S_022_3	ASV_800_16S_022_3	-0.639622166202668
ASV_401_16S_022_3	ASV_803_16S_022_3	-0.52288
ASV_392_16S_022_3	ASV_805_16S_022_3	0.907599284549187
ASV_248_16S_022_3	ASV_808_16S_022_3	0.702914118766785
ASV_782_16S_022_3	ASV_808_16S_022_3	0.545714855194092
ASV_462_16S_022_3	ASV_815_16S_022_3	0.534189105033875
ASV_739_16S_022_3	ASV_815_16S_022_3	0.776410937309265
ASV_139_16S_022_3	ASV_818_16S_022_3	0.769380331039429
ASV_379_16S_022_3	ASV_818_16S_022_3	0.68286782503128
ASV_739_16S_022_3	ASV_820_16S_022_3	0.757451474666595
ASV_262_16S_022_3	ASV_819_16S_022_3	0.891168594360352
ASV_644_16S_022_3	ASV_829_16S_022_3	0.651454870811941
ASV_710_16S_022_3	ASV_829_16S_022_3	0.825317357139009
ASV_262_16S_022_3	ASV_831_16S_022_3	0.531968891620636
ASV_751_16S_022_3	ASV_831_16S_022_3	0.684212684631348
ASV_370_16S_022_3	ASV_833_16S_022_3	0.52172
ASV_563_16S_022_3	ASV_833_16S_022_3	0.678010106086731
ASV_406_16S_022_3	ASV_842_16S_022_3	0.927721231567148
ASV_779_16S_022_3	ASV_847_16S_022_3	0.871271708717359
ASV_704_16S_022_3	ASV_851_16S_022_3	0.703167502925953
ASV_564_16S_022_3	ASV_853_16S_022_3	0.584138810634613
ASV_722_16S_022_3	ASV_853_16S_022_3	0.570978695714992
ASV_192_16S_022_3	ASV_859_16S_022_3	0.56946611404419
ASV_566_16S_022_3	ASV_859_16S_022_3	0.631348252296448
ASV_68_16S_022_3	ASV_862_16S_022_3	0.638533055782318
ASV_160_16S_022_3	ASV_862_16S_022_3	0.702614307403564
ASV_234_16S_022_3	ASV_862_16S_022_3	0.629451930522919
ASV_384_16S_022_3	ASV_862_16S_022_3	0.716992086142776
ASV_387_16S_022_3	ASV_862_16S_022_3	0.582636803527543
ASV_718_16S_022_3	ASV_863_16S_022_3	0.846140503883362
ASV_803_16S_022_3	ASV_863_16S_022_3	0.552337865054917
ASV_311_16S_022_3	ASV_865_16S_022_3	0.653218269348145
ASV_475_16S_022_3	ASV_865_16S_022_3	-0.539602041244507
ASV_80_16S_022_3	ASV_871_16S_022_3	0.590590415939174
ASV_103_16S_022_3	ASV_871_16S_022_3	0.539592685122036
ASV_121_16S_022_3	ASV_871_16S_022_3	0.522526621818542
ASV_387_16S_022_3	ASV_871_16S_022_3	0.870712595761323
ASV_361_16S_022_3	ASV_878_16S_022_3	0.715883314609528
ASV_652_16S_022_3	ASV_878_16S_022_3	0.523113107403665
ASV_675_16S_022_3	ASV_878_16S_022_3	0.52183217105286
ASV_687_16S_022_3	ASV_878_16S_022_3	-0.634243249893188
ASV_522_16S_022_3	ASV_886_16S_022_3	0.5706866979599
ASV_476_16S_022_3	ASV_889_16S_022_3	0.802603046726222
ASV_98_16S_022_3	ASV_893_16S_022_3	0.7163
ASV_717_16S_022_3	ASV_893_16S_022_3	0.658966422080994
ASV_13_16S_022_3	ASV_890_16S_022_3	-0.6678586602211
ASV_318_16S_022_3	ASV_890_16S_022_3	0.526086868068377
ASV_362_16S_022_3	ASV_890_16S_022_3	0.854561960108859
ASV_134_16S_022_3	ASV_899_16S_022_3	0.768082875825292
ASV_310_16S_022_3	ASV_900_16S_022_3	0.609469186777177
ASV_863_16S_022_3	ASV_900_16S_022_3	0.580560705394041
ASV_827_16S_022_3	ASV_910_16S_022_3	0.622978568077087
ASV_103_16S_022_3	ASV_917_16S_022_3	0.593865735194133
ASV_428_16S_022_3	ASV_917_16S_022_3	0.641065843585824
ASV_631_16S_022_3	ASV_917_16S_022_3	0.572316765785217
ASV_652_16S_022_3	ASV_917_16S_022_3	0.725066288979802
ASV_36_16S_022_3	ASV_918_16S_022_3	-0.561048626899719
ASV_473_16S_022_3	ASV_918_16S_022_3	-0.53129
ASV_893_16S_022_3	ASV_920_16S_022_3	0.683280571878601
ASV_149_16S_022_3	ASV_924_16S_022_3	0.543586611747742
ASV_833_16S_022_3	ASV_930_16S_022_3	0.706467466425405
ASV_316_16S_022_3	ASV_931_16S_022_3	0.699405952243954
