Source	Target	association_score	num_Triplets	MutualInformation	InterationInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	COMBI_II_DPI
ASV_218_16S_022_3	ASV_397_16S_022_3	0.57076	1	0.582530	-0.446922	0.059940	3	1	1
ASV_274_16S_022_3	ASV_400_16S_022_3	0.55338584387192	1	0.541810	-0.322231	0.648352	3	1	1
ASV_193_16S_022_3	ASV_402_16S_022_3	0.820168134430121	1	0.791777	-0.657638	0.000999	3	1	1
ASV_185_16S_022_3	ASV_401_16S_022_3	0.931910014153259	1	0.934609	-0.693745	0.590410	3	1	1
ASV_225_16S_022_3	ASV_401_16S_022_3	0.521462346565947	1	0.764207	-0.626880	0.471528	3	1	1
ASV_312_16S_022_3	ASV_401_16S_022_3	0.610412013269483	1	0.689402	-0.678931	0.118881	3	1	1
ASV_218_16S_022_3	ASV_407_16S_022_3	-0.58763592770795	1	0.443995	-0.443995	0.353646	3	1	1
ASV_109_16S_022_3	ASV_408_16S_022_3	0.56431120634079	1	0.395583	-0.217416	0.265734	3	1	1
ASV_153_16S_022_3	ASV_408_16S_022_3	0.718317717055079	1	0.474481	-0.273669	0.264735	3	1	1
ASV_19_16S_022_3	ASV_410_16S_022_3	0.700259506702423	1	0.685895	-0.180884	0.472527	3	1	1
ASV_163_16S_022_3	ASV_410_16S_022_3	0.706401859673474	1	0.865150	0.375538	nan	3	1	1
ASV_189_16S_022_3	ASV_414_16S_022_3	-0.549083967249259	1	0.530488	-0.120058	0.471528	3	1	1
ASV_226_16S_022_3	ASV_414_16S_022_3	-0.631913702974152	1	0.329969	0.685675	nan	3	1	1
ASV_145_16S_022_3	ASV_421_16S_022_3	0.734014895910037	1	0.767877	1.389146	nan	3	1	1
ASV_154_16S_022_3	ASV_421_16S_022_3	0.753625631332397	1	0.893467	1.261485	nan	3	1	1
ASV_189_16S_022_3	ASV_422_16S_022_3	0.8807	1	0.966193	-0.844087	0.058941	3	1	1
ASV_318_16S_022_3	ASV_422_16S_022_3	0.921970170285537	1	0.932192	-0.789165	0.293706	3	1	1
ASV_388_16S_022_3	ASV_422_16S_022_3	0.603611469268799	1	0.622788	0.374976	nan	3	1	1
ASV_155_16S_022_3	ASV_424_16S_022_3	0.627217173576355	1	0.623912	-0.578136	0.648352	3	1	1
ASV_282_16S_022_3	ASV_425_16S_022_3	0.763195395469666	1	0.756021	-0.683066	0.000999	3	1	1
ASV_309_16S_022_3	ASV_425_16S_022_3	0.642187476158142	1	0.756021	-0.658575	0.177822	3	1	1
ASV_136_16S_022_3	ASV_426_16S_022_3	0.644510865211487	1	0.577260	-0.364315	0.500500	3	1	1
ASV_222_16S_022_3	ASV_426_16S_022_3	0.574940323829651	1	0.657117	-0.443824	0.530470	3	1	1
ASV_424_16S_022_3	ASV_427_16S_022_3	-0.577604055404663	1	0.557088	-0.511313	0.678322	3	1	1
ASV_271_16S_022_3	ASV_429_16S_022_3	0.831741207829141	1	0.588503	-0.035002	0.617383	3	1	1
ASV_93_16S_022_3	ASV_430_16S_022_3	0.778830101969406	1	0.718305	-0.000666	0.618382	3	1	1
ASV_132_16S_022_3	ASV_430_16S_022_3	0.63159167766571	1	0.521138	0.402625	nan	3	1	1
ASV_431_16S_022_3	ASV_437_16S_022_3	0.554123342037201	1	0.576937	-0.450609	0.381618	3	1	1
ASV_80_16S_022_3	ASV_440_16S_022_3	0.576558172702789	1	0.534490	-0.375361	0.294705	3	1	1
ASV_434_16S_022_3	ASV_444_16S_022_3	0.748847174363118	1	0.368061	-0.408929	0.882118	3	1	1
ASV_260_16S_022_3	ASV_448_16S_022_3	0.687943875789642	1	0.640790	-0.483363	0.206793	3	1	1
ASV_348_16S_022_3	ASV_448_16S_022_3	0.707747668399113	1	0.718056	-0.722446	0.235764	3	1	1
ASV_110_16S_022_3	ASV_449_16S_022_3	0.799998291550906	1	0.700397	-0.247956	0.588412	3	1	1
ASV_212_16S_022_3	ASV_449_16S_022_3	0.71045161459962	1	0.658002	-0.171254	0.468531	3	1	1
ASV_121_16S_022_3	ASV_452_16S_022_3	0.699319344465397	1	0.752187	-0.741715	0.500500	3	1	1
ASV_49_16S_022_3	ASV_453_16S_022_3	0.855163156116334	1	0.948768	-0.902992	0.589411	3	1	1
ASV_223_16S_022_3	ASV_456_16S_022_3	0.898394048213959	1	0.785924	-0.740149	0.000999	3	1	1
ASV_389_16S_022_3	ASV_456_16S_022_3	0.63885372877121	1	0.670400	-0.554875	0.000999	3	1	1
ASV_308_16S_022_3	ASV_461_16S_022_3	0.992179274559021	1	1.040536	-0.662345	0.353646	3	1	1
ASV_301_16S_022_3	ASV_462_16S_022_3	0.623971819877625	1	0.835381	-0.487773	0.735265	3	1	1
ASV_153_16S_022_3	ASV_463_16S_022_3	-0.724927723882192	1	0.500082	0.774645	nan	3	1	1
ASV_126_16S_022_3	ASV_466_16S_022_3	0.631977293165216	1	0.651104	-0.257130	0.118881	3	1	1
ASV_273_16S_022_3	ASV_466_16S_022_3	0.789080971011481	1	0.599031	-0.450579	0.000999	3	1	1
ASV_41_16S_022_3	ASV_468_16S_022_3	-0.644050002098083	1	0.446995	-0.390748	0.589411	3	1	1
ASV_345_16S_022_3	ASV_473_16S_022_3	0.649796843906858	1	0.781995	-0.169502	0.618382	3	1	1
ASV_63_16S_022_3	ASV_475_16S_022_3	0.820413141556746	1	0.308623	0.626391	nan	3	1	1
ASV_182_16S_022_3	ASV_475_16S_022_3	0.645206987857819	1	0.449580	0.791923	nan	3	1	1
ASV_295_16S_022_3	ASV_475_16S_022_3	0.848136077938121	1	0.516195	-0.346538	0.501499	3	1	1
ASV_453_16S_022_3	ASV_476_16S_022_3	0.595009982585907	1	0.789639	-0.789639	1.000000	3	1	1
ASV_102_16S_022_3	ASV_478_16S_022_3	0.728323254372746	1	0.753679	-0.753679	0.941059	3	1	1
ASV_258_16S_022_3	ASV_478_16S_022_3	0.533245671943186	1	0.753679	-0.753679	1.000000	3	1	1
ASV_34_16S_022_3	ASV_479_16S_022_3	0.583488835325314	1	0.525091	-0.503289	0.177822	3	1	1
ASV_253_16S_022_3	ASV_488_16S_022_3	0.554239273071289	1	0.588622	-0.066691	0.764236	3	1	1
ASV_390_16S_022_3	ASV_490_16S_022_3	0.848124069750551	1	0.935195	1.241559	nan	3	1	1
ASV_179_16S_022_3	ASV_491_16S_022_3	0.956443340485413	1	0.957420	-0.636992	0.529471	3	1	1
ASV_187_16S_022_3	ASV_494_16S_022_3	0.536593116795791	1	0.925757	-0.784382	0.502498	3	1	1
ASV_382_16S_022_3	ASV_494_16S_022_3	0.64298141002655	1	0.793190	-0.761102	0.384615	3	1	1
ASV_49_16S_022_3	ASV_495_16S_022_3	0.538196682929993	1	0.735144	-0.580923	0.735265	3	1	1
ASV_478_16S_022_3	ASV_495_16S_022_3	0.562215626239777	1	0.502499	-0.502499	0.882118	3	1	1
ASV_332_16S_022_3	ASV_497_16S_022_3	0.639007557267563	1	0.835879	-0.561226	0.529471	3	1	1
ASV_332_16S_022_3	ASV_499_16S_022_3	0.671285095035891	1	0.587836	-0.244893	0.471528	3	1	1
ASV_494_16S_022_3	ASV_499_16S_022_3	0.728946173057414	1	0.847401	-0.734048	0.355644	3	1	1
ASV_170_16S_022_3	ASV_502_16S_022_3	0.745665826749073	1	0.415087	-0.323045	0.353646	3	1	1
ASV_11_16S_022_3	ASV_503_16S_022_3	0.634228341040297	1	0.995256	0.430705	nan	3	1	1
ASV_92_16S_022_3	ASV_503_16S_022_3	0.623354450078415	1	1.000478	0.537628	nan	3	1	1
ASV_216_16S_022_3	ASV_503_16S_022_3	0.774387115250842	1	0.890259	0.777935	nan	3	1	1
ASV_222_16S_022_3	ASV_503_16S_022_3	0.861074521376051	1	0.765167	0.430365	nan	3	1	1
ASV_265_16S_022_3	ASV_503_16S_022_3	0.554611242183512	1	0.731798	-0.563260	0.117882	3	1	1
ASV_412_16S_022_3	ASV_503_16S_022_3	0.817787630188357	1	0.797283	0.793427	nan	3	1	1
ASV_494_16S_022_3	ASV_503_16S_022_3	0.679722476306328	1	0.800167	-0.743920	0.413586	3	1	1
ASV_41_16S_022_3	ASV_504_16S_022_3	-0.687171041965485	1	0.677213	-0.518434	0.235764	3	1	1
ASV_113_16S_022_3	ASV_504_16S_022_3	-0.647536516189575	1	0.557596	-0.526182	0.000999	3	1	1
ASV_463_16S_022_3	ASV_504_16S_022_3	-0.716537333486536	1	0.696877	-0.065835	0.412587	3	1	1
ASV_347_16S_022_3	ASV_506_16S_022_3	0.877842366695404	1	0.941338	-0.654698	0.794206	3	1	1
ASV_477_16S_022_3	ASV_506_16S_022_3	0.550876140594482	1	0.955496	-0.635068	0.883117	3	1	1
ASV_36_16S_022_3	ASV_512_16S_022_3	0.906073717327522	1	0.712880	-0.334689	0.441558	3	1	1
ASV_215_16S_022_3	ASV_512_16S_022_3	0.757294264638914	1	0.527683	-0.289555	0.441558	3	1	1
ASV_386_16S_022_3	ASV_513_16S_022_3	0.606032192707062	1	0.566234	-0.526881	0.119880	3	1	1
ASV_282_16S_022_3	ASV_515_16S_022_3	0.538635015487671	1	0.645798	-0.498186	0.236763	3	1	1
ASV_416_16S_022_3	ASV_515_16S_022_3	0.606596341819623	1	0.402669	-0.175022	0.589411	3	1	1
ASV_11_16S_022_3	ASV_517_16S_022_3	0.557122945839839	1	0.862689	0.724166	nan	3	1	1
ASV_169_16S_022_3	ASV_525_16S_022_3	0.532816588878632	1	0.704774	-0.398209	0.149850	3	1	1
ASV_223_16S_022_3	ASV_531_16S_022_3	0.609962522983551	1	0.645714	-0.504762	0.441558	3	1	1
ASV_262_16S_022_3	ASV_533_16S_022_3	0.641383806292199	1	0.963140	-0.575847	0.647353	3	1	1
ASV_327_16S_022_3	ASV_533_16S_022_3	0.769488871097565	1	0.977298	-0.635781	0.471528	3	1	1
ASV_481_16S_022_3	ASV_533_16S_022_3	0.920542538166046	1	0.768051	-0.722276	0.765235	3	1	1
