ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504
ASV_356_16S_022_3	0	0	0	25	14	0	25	0	0	0	19	159	0	0	43	0	48	0	134	487	69	0	0
ASV_357_16S_022_3	36	0	0	0	0	0	0	55	36	138	4	16	29	69	20	25	14	22	62	119	188	520	43
ASV_358_16S_022_3	0	0	0	0	0	0	0	95	73	289	0	63	0	0	149	199	130	118	138	37	63	94	121
ASV_360_16S_022_3	46	0	0	0	0	27	21	0	38	61	0	91	65	62	80	0	13	73	115	251	66	56	101
ASV_361_16S_022_3	0	0	0	0	0	0	0	0	55	0	0	47	48	91	0	0	0	23	26	22	31	0	110
ASV_362_16S_022_3	43	36	85	0	0	0	0	17	68	17	0	28	26	87	10	15	0	38	51	16	46	36	91
ASV_363_16S_022_3	0	0	0	0	0	0	0	0	27	35	0	0	39	44	0	0	0	0	0	0	0	0	0
ASV_364_16S_022_3	0	23	0	11	16	0	23	140	37	118	17	9	0	9	7	11	0	10	26	7	5	6	10
ASV_365_16S_022_3	0	0	0	0	0	0	0	10	0	26	4	25	53	44	5	7	6	0	0	7	6	6	16
ASV_368_16S_022_3	0	0	35	76	0	65	110	0	79	54	0	96	0	70	117	106	0	64	40	30	46	45	172
ASV_369_16S_022_3	0	0	0	0	0	0	0	71	84	199	0	56	54	299	17	0	24	101	151	113	203	106	60
ASV_370_16S_022_3	0	0	0	0	0	0	0	40	155	0	0	14	147	746	0	0	0	146	284	108	113	20	0
ASV_376_16S_022_3	0	0	0	0	0	0	0	0	0	0	0	89	15	0	0	0	0	13	12	0	0	0	0
ASV_377_16S_022_3	21	12	0	0	0	0	29	0	0	0	43	0	0	0	57	19	0	0	0	0	0	51	391
ASV_378_16S_022_3	0	0	39	40	0	0	0	30	74	57	0	40	49	97	64	61	29	55	62	29	72	47	304
ASV_379_16S_022_3	156	169	0	0	0	0	0	0	174	34	0	0	0	22	0	0	0	0	0	86	158	383	48
ASV_381_16S_022_3	0	0	0	98	0	0	121	94	0	0	332	117	0	0	209	98	0	0	0	0	0	0	137
ASV_382_16S_022_3	0	0	0	0	0	0	0	39	95	9	0	71	94	311	0	4	18	313	251	86	54	0	5
ASV_383_16S_022_3	57	0	0	0	0	0	0	28	35	39	0	0	0	20	0	0	0	0	33	97	454	493	202
ASV_384_16S_022_3	0	0	28	0	0	0	0	0	53	60	0	45	38	95	67	58	0	49	67	0	0	0	211
ASV_386_16S_022_3	0	0	0	0	0	0	0	0	0	0	53	256	777	81	0	5	0	9	0	42	22	15	18
ASV_387_16S_022_3	0	0	0	0	0	0	0	35	147	40	0	26	37	266	12	16	0	77	139	86	144	76	127
ASV_388_16S_022_3	45	8	14	0	6	30	0	26	113	122	0	50	84	250	34	0	0	77	139	49	103	47	124
ASV_389_16S_022_3	0	0	0	0	0	0	0	0	297	137	0	0	102	563	0	0	0	0	0	102	237	58	0
ASV_390_16S_022_3	0	0	0	0	0	0	0	176	123	171	0	9	12	140	0	0	17	20	119	19	48	24	0
ASV_392_16S_022_3	0	0	0	0	0	0	0	0	0	0	59	476	182	11	0	17	7	24	12	162	169	122	93
ASV_396_16S_022_3	0	583	0	0	0	0	0	0	121	0	0	0	31	343	0	0	0	36	72	182	146	39	16
ASV_397_16S_022_3	15	0	27	0	0	16	0	0	141	348	0	0	0	0	0	0	0	79	92	25	32	33	85
ASV_400_16S_022_3	0	0	0	0	0	0	0	14	0	5	9	0	28	22	12	0	8	2	0	12	7	0	15
ASV_402_16S_022_3	26	0	9	0	0	9	19	30	84	26	9	77	58	136	30	28	20	89	106	49	57	51	211
ASV_401_16S_022_3	0	0	24	72	49	94	39	0	0	0	48	66	0	0	118	42	36	102	0	5	0	0	48
ASV_406_16S_022_3	0	0	0	0	0	0	0	47	170	0	0	17	102	429	0	0	13	69	153	0	157	74	7
ASV_407_16S_022_3	0	0	0	23	21	0	70	0	0	0	44	754	0	0	99	135	78	0	5	0	0	0	0
ASV_408_16S_022_3	0	297	0	27	54	23	0	0	0	0	52	0	0	0	59	49	0	19	0	0	0	20	230
