Source	Target	Occurrence	Occurrence_Percentage	Source_Kingdom	Source_DivisionPhylum	Target_Kingdom	Target_DivisionPhylum
OTU_2432_18S_022_3	OTU_2071_18S_3_200	1	16.67	Eukaryota	Chlorophyta	Eukaryota	Dinoflagellata
OTU_2448_18S_022_3	OTU_2918_18S_022_3	1	16.67	Eukaryota	Haptophyta	Eukaryota	Haptophyta
OTU_245_18S_3_200	OTU_306_18S_3_200	2	33.33	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2457_18S_3_200	OTU_3675_18S_3_200	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Ochrophyta
OTU_2467_18S_022_3	OTU_2690_18S_022_3	1	16.67	Eukaryota	Haptophyta	Eukaryota	Ochrophyta
OTU_2467_18S_022_3	OTU_3746_18S_022_3	1	16.67	Eukaryota	Haptophyta	Eukaryota	Opalozoa
OTU_2467_18S_022_3	OTU_938_18S_3_200	1	16.67	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2473_18S_022_3	OTU_3095_18S_022_3	1	16.67	Eukaryota	Haptophyta	Eukaryota	Haptophyta
OTU_2473_18S_022_3	OTU_4383_18S_022_3	1	16.67	Eukaryota	Haptophyta	Eukaryota	Haptophyta
OTU_2473_18S_022_3	OTU_5149_18S_022_3	1	16.67	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2498_18S_022_3	OTU_3559_18S_3_200	2	33.33	Eukaryota	Ciliophora	Eukaryota	Dinoflagellata
OTU_2498_18S_3_200	OTU_3259_18S_3_200	2	33.33	Eukaryota	Ciliophora	Eukaryota	Dinoflagellata
OTU_250_18S_3_200	OTU_649_18S_3_200	2	33.33	Eukaryota	Ochrophyta	Eukaryota	Dinoflagellata
OTU_251_18S_3_200	OTU_620_18S_3_200	3	50	Eukaryota	Centroheliozoa	Eukaryota	Dinoflagellata
OTU_252_18S_3_200	OTU_1764_18S_3_200	1	16.67	Eukaryota	Ochrophyta	Eukaryota	Ciliophora
OTU_252_18S_3_200	OTU_1851_18S_3_200	1	16.67	Eukaryota	Ochrophyta	Eukaryota	Ochrophyta
OTU_252_18S_3_200	OTU_3502_18S_3_200	1	16.67	Eukaryota	Ochrophyta	Eukaryota	Ochrophyta
