Source	Target	association_score	original	MutualInformation	ENV_daylength_InterationInformation	ENV_daylength_II_p_value	ENV_daylength_DataProcessingInequality_MI_rank	ENV_daylength_COMBI_II_DPI	ENV_Temperature_InterationInformation	ENV_Temperature_II_p_value	ENV_Temperature_DataProcessingInequality_MI_rank	ENV_Temperature_COMBI_II_DPI	ENV_Salinity_InterationInformation	ENV_Salinity_II_p_value	ENV_Salinity_DataProcessingInequality_MI_rank	ENV_Salinity_COMBI_II_DPI	ENV_NH4_InterationInformation	ENV_NH4_II_p_value	ENV_NH4_DataProcessingInequality_MI_rank	ENV_NH4_COMBI_II_DPI	ENV_NO2_InterationInformation	ENV_NO2_II_p_value	ENV_NO2_DataProcessingInequality_MI_rank	ENV_NO2_COMBI_II_DPI	ENV_NO3_InterationInformation	ENV_NO3_II_p_value	ENV_NO3_DataProcessingInequality_MI_rank	ENV_NO3_COMBI_II_DPI	ENV_PO4_InterationInformation	ENV_PO4_II_p_value	ENV_PO4_DataProcessingInequality_MI_rank	ENV_PO4_COMBI_II_DPI	ENV_Si_InterationInformation	ENV_Si_II_p_value	ENV_Si_DataProcessingInequality_MI_rank	ENV_Si_COMBI_II_DPI	COMBI_allENV
ASV_1054_16S_022_3	ASV_1071_16S_022_3	0.615128993988037	1	0.425809	-0.425809	1	3	1	-0.425809	1	3	1	-0.425809	0.818182	3	1	-0.425809	1	3	1	-0.541334	0.167832	3	1	-0.492869	0.1998	3	1	-0.425809	1	3	1	-0.425809	1	3	1	8
ASV_1054_16S_022_3	OTU_942_18S_022_3	0.61601448059082	1	0.571923	-0.42261	0.5005	3	1	-0.328684	0.285714	3	1	-0.538134	0.000999	3	1	-0.62606	0.529471	3	1	-0.595897	0.834166	3	1	-0.725626	0.333666	3	1	-0.629685	0.5005	3	1	-0.624963	0.821179	3	1	8
ASV_1055_16S_022_3	ASV_1107_16S_3_200	0.540130126261591	1	0.625005	-0.724917	0.8002	3	1	-0.625005	0.856144	3	1	-0.591216	0.546454	3	1	-0.608111	0.766234	3	1	-0.533454	0.251748	3	1	-0.557945	0.468531	3	1	-0.625005	1	3	1	-0.520608	0.304695	3	1	8
ASV_1055_16S_022_3	ASV_1589_16S_022_3	0.93056117993119	1	0.545441	-0.545441	0.9001	3	1	-0.545441	0.856144	3	1	-0.511652	0.546454	3	1	-0.499665	0.884116	3	1	-0.45389	0.083916	3	1	-0.545441	0.666334	3	1	-0.545441	1	3	1	-0.493242	0.428571	3	1	8
ASV_1055_16S_022_3	ASV_1869_16S_022_3	0.578995943069458	1	0.46177	-0.46177	0.95005	3	1	-0.46177	0.928072	3	1	-0.427981	0.637363	3	1	-0.415994	0.884116	3	1	-0.370219	0.168831	2	1	-0.39471	0.7003	3	1	-0.46177	1	3	1	-0.409571	0.304695	3	1	8
ASV_1055_16S_022_3	ASV_2653_16S_022_3	0.606498863322887	1	0.519532	-0.519532	0.9001	3	1	-0.519532	0.856144	3	1	-0.519532	0.727273	3	1	-0.519532	0.942058	3	1	-0.427981	0.167832	3	1	-0.519532	0.666334	3	1	-0.519532	1	3	1	-0.467333	0.446553	3	1	8
ASV_1058_16S_022_3	ASV_1348_16S_022_3	0.908917531472106	1	0.577294	-0.577294	0.9001	3	1	-0.577294	0.856144	3	1	-0.543505	0.637363	3	1	-0.531519	0.648352	3	1	-0.456862	0.584416	3	1	-0.539115	0.566434	3	1	-0.577294	1	3	1	-0.525096	0.358641	3	1	8
ASV_1058_16S_022_3	ASV_1367_16S_022_3	0.531555719521609	1	0.636279	-0.66516	0.450549	3	1	-0.590504	0.000999	3	1	-0.544728	0.546454	3	1	-0.527834	0.647353	3	1	-0.526318	0.167832	3	1	-0.528351	0.699301	3	1	-0.595411	0.250749	3	1	-0.521411	0.822178	3	1	8
ASV_1058_16S_022_3	OTU_1995_18S_022_3	0.631522536277771	1	0.521848	-0.625386	0.7003	3	1	-0.521848	0.785215	3	1	-0.488059	0.546454	3	1	-0.476072	0.648352	3	1	-0.430297	0.584416	3	1	-0.483669	0.566434	3	1	-0.521848	0.667333	3	1	-0.469649	0.286713	3	1	8
ASV_1059_16S_022_3	ASV_2134_16S_3_200	0.951801021920803	1	0.599096	-0.599096	0.55045	3	1	-0.518017	0.571429	3	1	-0.565307	0.637363	3	1	-0.599096	1	3	1	-0.599096	0.75025	3	1	-0.773029	0.567433	3	1	-0.599096	0.667333	3	1	-0.754832	1	3	1	8
ASV_1059_16S_022_3	ASV_2288_16S_3_200	0.832662879324802	1	0.519532	-0.519532	1	3	1	-0.519532	1	3	1	-0.485743	0.637363	3	1	-0.519532	1	3	1	-0.519532	0.75025	3	1	-0.693465	0.567433	3	1	-0.519532	1	3	1	-0.675268	1	3	1	8
ASV_1059_16S_022_3	OTU_3133_18S_022_3	0.669967472553253	1	0.519532	-0.519532	0.7003	3	1	-0.519532	0.785215	3	1	-0.485743	0.637363	3	1	-0.519532	1	3	1	-0.519532	0.75025	3	1	-0.69013	0.633367	3	1	-0.519532	0.667333	3	1	-0.594189	0.929071	3	1	8
ASV_1059_16S_022_3	OTU_338_18S_022_3	0.795912480588626	1	0.404007	-0.51088	0.300699	3	1	-0.404007	1	3	1	-0.370219	0.546454	3	1	-0.404007	1	3	1	-0.404007	0.5005	3	1	-0.471067	0.234765	3	1	-0.404007	1	3	1	-0.478664	0.57043	3	1	8
ASV_1059_16S_022_3	OTU_48_18S_3_200	-0.54239958524704	1	0.324443	-0.353324	0.75025	3	1	-0.301126	0.857143	3	1	-0.367012	0.909091	3	1	-0.391503	0.53047	3	1	-0.382205	0.083916	2	1	-0.008256	0.934066	3	1	-0.324443	0.833167	3	1	0.278272	NA	3	1	8
ASV_106_16S_022_3	ASV_278_16S_022_3	-0.778593928911259	1	0.263727	0.02987	NA	3	1	-0.240003	0.000999	2	1	0.023844	NA	3	1	0.33192	NA	3	1	0.02818	NA	1	1	-0.078399	0.233766	2	1	0.076182	NA	3	1	-0.114867	0.4995	2	1	8
ASV_1061_16S_022_3	ASV_1560_16S_022_3	-0.737384915351868	1	0.811441	-0.887799	0.55045	3	1	-0.756368	0.000999	3	1	-0.710592	0.273726	3	1	-0.702996	0.587413	3	1	-0.748771	0.084915	3	1	-0.677839	0.467532	3	1	-0.530227	0.418581	3	1	-0.613978	0.394605	3	1	8
ASV_1062_16S_022_3	ASV_1110_16S_022_3	0.59553020879959	1	0.46177	-0.46177	1	3	1	-0.46177	1	3	1	-0.46177	0.636364	3	1	-0.46177	1	3	1	-0.46177	0.083916	3	1	-0.46177	1	3	1	-0.46177	1	3	1	-0.46177	1	3	1	8
ASV_1062_16S_022_3	ASV_1934_16S_022_3	0.95276927947998	1	0.603203	-0.603203	1	3	1	-0.603203	1	3	1	-0.603203	0.636364	3	1	-0.632084	0.117882	3	1	-0.603203	0.083916	3	1	-0.603203	1	3	1	-0.603203	1	3	1	-0.603203	1	3	1	8
ASV_1062_16S_022_3	ASV_2102_16S_022_3	0.703757877956887	1	0.484794	-0.484794	1	3	1	-0.484794	1	3	1	-0.484794	0.545455	3	1	-0.484794	1	3	1	-0.484794	0.167832	3	1	-0.484794	1	3	1	-0.484794	1	3	1	-0.484794	1	3	1	8
ASV_1065_16S_022_3	OTU_1355_18S_3_200	0.615835428237915	1	0.547893	-0.578056	0.400599	3	1	-0.429095	0.857143	3	1	-0.418163	0.000999	3	1	-0.456342	0.765235	3	1	-0.63827	0.916084	3	1	-0.316844	0.532468	3	1	-0.547893	0.667333	3	1	-0.364791	0.627373	3	1	8
ASV_1065_16S_022_3	OTU_2750_18S_3_200	0.744706149769065	1	0.519532	-0.519532	1	3	1	-0.626405	0.214785	3	1	-0.485743	0.000999	3	1	-0.519532	1	3	1	-0.591499	0.916084	3	1	-0.519532	1	3	1	-0.519532	1	3	1	-0.519532	1	3	1	8
ASV_1065_16S_022_3	OTU_3422_18S_3_200	0.57580067979146	1	0.444736	-0.310146	0.85015	3	1	-0.3837	0.715285	3	1	-0.428359	0.000999	3	1	-0.353185	0.766234	3	1	-0.454034	0.666334	3	1	-0.386974	0.333666	3	1	-0.403868	0.418581	3	1	-0.382066	0.392607	3	1	8
ASV_1067_16S_3_200	OTU_3774_18S_3_200	0.643909990787506	1	0.484794	-0.3394	0.100899	3	1	-0.591667	0.071928	3	1	2.71041	NA	3	1	-0.396697	0.117882	3	1	-0.16604	0.75025	3	1	-0.311507	0.000999	3	1	-0.403059	0.166833	3	1	-0.267903	0.947053	3	1	8
