ASV	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822
OTU_189_18S_022.3	0	0	0	37	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	66
OTU_192_18S_022.3	135	25	0	593	24	0	0	0	0	0	7	0	0	0	0	0	20	406	50	0	0	0
OTU_191_18S_022.3	2159	1109	323	88	21	1920	701	60	152	1389	617	0	268	0	795	59	225	283	278	179	0	35
OTU_188_18S_022.3	462	2001	169	1544	1417	1486	0	111	35	232	56	23	35	0	15	48	17	85	0	0	499	75
OTU_195_18S_022.3	262	319	653	0	0	576	0	187	95	0	0	0	78	382	0	0	927	204	0	898	102	0
OTU_197_18S_022.3	26	16	716	230	12	452	73	848	264	94	78	0	93	1221	478	780	0	524	69	258	179	511
OTU_199_18S_022.3	264	290	1573	133	96	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	104	0
OTU_201_18S_022.3	0	1206	3728	0	0	0	0	0	516	0	0	0	53	0	34	0	0	0	0	18	144	0
OTU_203_18S_022.3	88	1594	640	387	89	16	48	1578	385	0	291	88	109	65	157	237	92	62	0	54	595	264
OTU_174_18S_022.3	48	0	0	158	41	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0
OTU_206_18S_022.3	3689	948	287	2197	435	784	249	164	302	163	0	128	200	0	0	93	81	322	45	56	371	0
OTU_181_18S_022.3	0	76	0	128	105	280	0	146	0	119	0	0	0	0	0	530	0	196	373	0	0	0
OTU_215_18S_022.3	150	283	52	117	60	506	0	206	0	70	96	185	81	0	0	0	0	975	317	0	0	0
OTU_216_18S_022.3	0	0	1151	94	0	120	354	0	93	0	0	0	405	1304	196	239	0	65	0	475	0	633
OTU_217_18S_022.3	130	534	113	184	193	353	0	0	0	0	0	0	151	99	0	165	158	59	592	0	156	0
OTU_219_18S_022.3	329	184	5	4011	3018	410	0	417	123	1015	20	0	0	0	8	228	82	18	43	0	40	13
OTU_212_18S_022.3	16	86	189	65	0	12	0	0	0	0	0	0	29	26	0	0	0	80	0	0	18	0
OTU_222_18S_022.3	24	4138	35	0	0	6076	0	0	357	0	166	693	0	0	0	0	0	249	0	0	0	0
OTU_224_18S_022.3	0	0	0	0	0	30	0	19	59	0	7833	49	27	268	69	59	0	0	36	75	0	0
OTU_225_18S_022.3	90	749	109	1784	551	117	0	153	129	84	31	35	21	0	0	0	35	71	61	0	2824	0
