ASV	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822	abundancesum_small
OTU_439_18S	58	230	2694	643	19	0	0	48	25	0	0	0	53	67	51	0	0	0	0	0	0	67	3955
OTU_443_18S	1203	599	189	270	178	1158	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3625
OTU_442_18S	1871	1192	425	545	41	332	10	20	0	33	72	0	8	0	0	0	11	0	0	0	0	0	4560
OTU_445_18S	1680	286	286	675	68	353	0	0	191	102	126	104	61	190	53	146	0	118	0	132	51	261	4883
OTU_447_18S	849	69	229	143	65	781	17	83	97	402	0	106	713	0	0	76	0	87	57	0	0	262	4036
OTU_448_18S	483	196	438	407	19	61	891	45	0	159	0	99	580	65	0	0	0	0	0	42	0	46	3531
OTU_451_18S	211	26	45	4527	58	20	0	0	0	199	76	617	0	0	0	0	0	0	0	0	0	0	5779
OTU_450_18S	1733	1507	843	0	0	685	0	107	42	0	64	241	38	0	0	47	0	0	0	0	170	0	5477
OTU_452_18S	29	141	0	3882	195	415	0	69	0	0	0	0	0	0	0	0	175	0	0	0	0	0	4906
OTU_444_18S	1350	0	164	0	0	264	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	1858
OTU_455_18S	0	0	0	61	26	263	0	0	0	27	18	0	0	0	0	0	0	0	0	0	0	0	395
OTU_459_18S	41	0	0	0	0	173	0	0	0	0	74	0	0	0	0	0	0	0	33	0	0	0	321
OTU_460_18S	564	708	322	737	209	469	385	0	533	205	201	221	49	65	0	0	0	205	98	0	0	0	4971
OTU_461_18S	53	3059	146	648	34	16	0	0	447	93	549	161	0	0	29	0	0	0	0	0	0	0	5235
OTU_456_18S	0	56	182	0	0	0	0	163	363	0	0	0	53	0	71	0	0	47	0	19	162	38	1154
OTU_467_18S	142	360	723	46	0	0	0	56	151	45	45	0	93	206	342	0	0	0	0	22	123	0	2354
OTU_463_18S	119	358	862	0	0	9	0	14	0	0	0	43	226	162	104	18	0	0	27	34	469	0	2445
OTU_472_18S	54	128	36	11	36	0	0	0	0	0	4	34	217	0	0	0	0	0	0	0	0	0	520
