ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504	abundancesum_big
OTU_3023_18S	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	69	17	0	42	0	0	0	0	229
OTU_2732_18S	0	0	0	0	0	0	0	0	113	128	0	0	0	0	0	0	0	48	83	16	0	0	0	388
OTU_2807_18S	0	5	0	13	0	0	37	8	1	8	21	13	69	5	41	25	24	16	25	2	0	0	6	319
OTU_3068_18S	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	89	27	0	48	0	0	0	0	198
OTU_3072_18S	0	0	0	0	0	0	0	0	0	0	0	163	33	0	0	41	0	0	0	25	0	0	0	262
OTU_3113_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	135	209	0	0	11	0	372
OTU_2758_18S	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	10	100	0	46	0	9	0	0	347
OTU_3167_18S	0	0	0	0	0	0	0	15	0	0	83	18	17	0	0	0	0	40	0	0	0	0	0	173
OTU_3190_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	29	0	173	87	0	303
OTU_3083_18S	0	0	0	0	0	0	0	35	0	0	0	0	0	256	0	6	0	0	42	0	0	0	0	339
OTU_3206_18S	0	0	0	0	0	0	0	0	240	0	77	28	27	0	0	18	0	0	0	0	0	0	0	390
OTU_3210_18S	0	0	0	0	0	0	0	52	58	0	0	47	28	0	0	55	5	0	0	0	0	0	0	245
OTU_3225_18S	0	0	0	0	0	0	0	1	0	1	2	0	46	0	0	1	63	25	0	30	9	0	0	178
OTU_3255_18S	0	0	0	0	0	0	0	0	0	0	0	75	68	0	0	0	20	87	0	0	0	0	0	250
OTU_3261_18S	0	0	0	0	0	0	0	83	0	0	0	0	51	0	0	0	57	46	0	0	0	0	0	237
OTU_3269_18S	0	0	0	0	0	0	0	53	118	0	0	63	108	0	0	0	0	0	0	0	0	0	0	342
OTU_3295_18S	0	0	0	0	0	0	0	0	0	0	69	8	22	0	0	8	0	0	0	0	0	0	0	107
OTU_3223_18S	0	0	0	0	0	0	0	0	40	0	0	0	13	0	25	0	16	11	0	0	0	0	0	105
OTU_3338_18S	0	0	0	0	0	6	0	0	0	0	0	91	0	0	0	0	41	0	0	0	0	0	19	157
OTU_2812_18S	0	0	0	0	0	0	0	43	115	0	0	0	72	0	0	7	52	0	0	0	0	0	0	289
OTU_3386_18S	0	0	0	0	0	0	0	0	147	77	0	83	53	0	0	0	0	0	0	0	0	0	0	360
OTU_3160_18S	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	125	142	0	44	0	0	0	370
OTU_3422_18S	0	0	0	0	0	0	0	0	0	0	0	70	0	0	219	51	0	32	34	0	0	0	0	406
OTU_3389_18S	0	0	0	0	0	10	0	26	0	0	0	44	0	0	0	0	22	0	0	0	0	0	0	102
OTU_2998_18S	0	0	0	4	0	3	0	0	0	0	0	29	31	0	0	0	36	88	41	0	0	0	0	232
OTU_3342_18S	0	0	0	0	0	0	0	0	32	0	2	27	9	0	0	21	82	132	42	25	0	0	0	372
OTU_2303_18S	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	77	0	25	240	0	0	0	0	400
OTU_3314_18S	0	0	0	0	0	0	0	0	0	121	0	40	0	0	0	0	31	0	0	44	0	0	0	236
OTU_3454_18S	0	0	0	0	0	0	0	30	63	0	0	41	32	0	0	0	26	8	18	19	0	0	0	237
OTU_3603_18S	0	0	0	0	0	0	0	0	0	0	129	15	100	0	0	13	24	19	0	0	0	0	0	300
OTU_3606_18S	0	0	0	0	0	0	0	0	0	253	0	0	44	56	0	0	29	10	16	0	0	0	0	408
OTU_3490_18S	0	0	0	0	0	0	0	0	0	0	70	0	34	0	0	0	0	237	49	0	0	0	0	390
OTU_3655_18S	6	0	0	0	0	0	0	42	204	0	0	0	36	0	0	0	0	0	0	0	0	0	0	288
