ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504	abundancesum_small
ASV_250_16S	46	0	63	0	39	41	148	0	0	0	39	272	0	34	78	101	85	117	159	129	136	182	68	1737
ASV_253_16S	0	0	0	0	0	0	0	71	10	125	99	232	31	96	15	116	62	50	20	112	149	208	51	1447
ASV_255_16S	0	0	0	0	0	0	0	140	17	555	33	202	11	23	13	0	0	0	0	10	0	0	0	1004
ASV_258_16S	0	0	58	115	60	0	24	10	0	0	116	75	0	0	197	81	0	0	0	0	0	0	110	846
ASV_259_16S	0	0	0	0	0	0	0	0	168	73	0	0	0	0	0	0	0	0	10	19	53	24	0	347
ASV_260_16S	0	0	0	0	0	0	0	14	49	21	0	111	75	133	35	27	0	65	57	36	48	16	74	761
ASV_262_16S	0	0	0	0	0	0	0	64	319	50	0	0	195	1020	0	0	0	63	220	130	133	140	0	2334
ASV_263_16S	277	45	112	54	28	98	26	16	108	57	7	62	75	135	31	43	16	59	73	58	84	52	166	1682
ASV_264_16S	0	0	0	0	20	25	34	44	43	28	101	462	0	75	299	227	401	272	233	46	61	22	63	2456
ASV_265_16S	0	0	0	0	0	0	36	113	280	74	0	182	130	304	51	26	16	84	151	37	154	67	143	1848
ASV_267_16S	15	22	0	66	0	0	0	0	29	15	0	0	0	0	0	0	0	0	0	137	58	135	100	577
ASV_268_16S	0	0	0	0	0	0	0	0	226	191	0	0	0	29	0	0	0	0	0	160	87	110	23	826
ASV_269_16S	0	0	0	0	0	0	0	109	77	37	0	14	23	113	0	0	9	219	152	61	112	3	0	929
ASV_271_16S	0	0	0	0	0	7	0	0	0	37	26	291	0	60	300	121	30	0	21	0	50	236	0	1179
ASV_273_16S	0	5	30	8	0	55	49	81	43	50	54	378	23	67	187	209	95	215	137	59	85	54	139	2023
ASV_274_16S	0	0	0	0	0	0	0	20	0	41	10	13	47	23	23	0	11	0	0	0	12	26	16	242
ASV_276_16S	0	1229	0	0	0	168	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	422	1855
ASV_277_16S	0	0	0	24	64	48	169	40	14	68	507	285	0	12	222	189	79	30	21	0	0	0	24	1796
ASV_278_16S	29	0	19	0	0	0	0	55	226	47	0	27	160	573	0	0	19	77	135	152	273	122	62	1976
ASV_281_16S	17	0	0	0	0	0	0	399	149	237	0	105	77	175	0	0	0	47	160	0	111	141	44	1662
ASV_282_16S	0	0	0	0	0	20	23	0	0	0	23	71	0	26	87	51	16	15	0	32	0	0	27	391
ASV_283_16S	0	143	0	0	609	0	16	16	0	0	0	0	0	7	2	372	0	0	0	0	0	0	0	1165
ASV_284_16S	0	0	0	0	0	0	0	35	91	0	0	77	84	188	69	46	32	129	153	112	138	67	160	1381
ASV_287_16S	0	0	41	0	0	166	0	0	0	0	0	131	0	0	0	0	22	96	0	0	0	0	230	686
ASV_289_16S	4	0	0	0	7	0	6	255	14	14	0	245	44	32	83	67	24	32	35	21	71	40	0	994
ASV_290_16S	0	0	0	0	128	256	59	30	41	0	92	183	74	107	211	129	46	86	32	0	0	0	18	1492
ASV_291_16S	0	0	0	0	0	44	164	296	0	49	416	538	0	0	199	117	93	45	54	0	0	0	77	2092
ASV_294_16S	0	0	0	0	0	0	0	316	245	146	0	0	0	132	0	0	8	151	227	36	72	15	0	1348
ASV_295_16S	0	0	35	56	21	0	43	0	0	0	76	126	11	0	315	127	28	6	0	16	0	16	259	1135
ASV_297_16S	0	0	0	0	115	50	131	0	0	27	51	144	0	4	262	45	0	0	5	0	0	0	0	834
ASV_298_16S	844	71	92	29	4	0	18	8	11	18	1	0	0	0	3	0	0	0	3	0	6	74	66	1248
ASV_299_16S	6	0	0	0	0	0	0	15	23	14	0	0	16	42	0	0	0	10	13	7	18	25	0	189
ASV_300_16S	0	0	0	0	0	17	44	0	0	0	173	455	0	0	64	94	13	0	0	0	0	0	0	860
ASV_301_16S	11	0	0	0	0	0	0	102	196	25	0	103	119	357	0	0	91	208	234	43	74	30	27	1620
ASV_304_16S	0	0	0	0	0	0	186	56	27	31	203	407	15	18	340	481	182	73	62	0	24	29	38	2172
ASV_306_16S	0	0	0	0	0	8	0	0	0	0	49	21	10	0	30	3	0	0	0	0	0	0	0	121
ASV_307_16S	773	62	24	1	0	1	0	6	14	35	0	0	0	1	1	0	0	3	2	3	13	158	87	1184
ASV_308_16S	7	0	0	0	0	0	0	104	232	86	0	0	64	370	0	0	0	158	249	59	159	89	0	1577
ASV_309_16S	0	0	0	49	39	99	36	0	0	0	155	235	0	0	197	231	33	86	18	0	0	0	124	1302
ASV_310_16S	0	0	0	0	0	0	0	287	163	0	0	0	75	173	0	0	0	0	72	154	294	777	0	1995
ASV_311_16S	0	41	0	0	0	0	0	43	166	9	0	0	67	372	0	0	0	181	359	414	197	45	6	1900
ASV_312_16S	0	0	69	99	194	19	53	0	0	4	22	64	0	7	166	70	11	34	10	5	0	0	82	909
ASV_316_16S	0	0	0	0	0	0	0	367	124	32	0	17	203	442	0	0	5	219	362	120	161	33	0	2085
ASV_317_16S	0	0	0	106	116	166	153	0	0	45	77	161	22	0	98	83	63	36	64	33	22	0	103	1348
ASV_318_16S	70	39	87	0	0	0	0	40	133	28	0	86	53	204	55	0	0	68	86	61	86	37	230	1363
ASV_320_16S	0	0	0	0	0	0	0	0	0	0	40	358	498	92	16	17	0	21	47	124	112	75	110	1510
ASV_321_16S	0	0	0	0	0	0	0	0	0	0	0	36	29	129	36	106	15	96	20	181	99	468	181	1396
ASV_322_16S	0	0	0	0	0	0	0	0	0	29	0	44	38	119	0	0	0	0	34	0	0	0	0	264
ASV_324_16S	0	0	36	24	22	20	43	67	43	30	97	148	0	17	109	91	61	47	38	19	14	28	174	1128
ASV_325_16S	0	0	0	0	0	0	0	174	198	95	8	31	129	462	15	20	13	32	88	87	200	134	54	1740
ASV_327_16S	0	0	0	0	0	0	0	85	270	104	0	0	74	542	0	0	0	26	145	101	393	70	0	1810
ASV_328_16S	72	33	126	56	0	72	92	57	30	100	25	15	27	13	39	23	18	34	10	4	10	82	63	1001
ASV_331_16S	0	0	0	56	0	0	0	0	0	0	49	27	0	0	71	35	0	0	0	0	0	0	77	315
ASV_332_16S	0	0	0	0	0	0	0	609	172	143	0	0	260	134	0	0	25	145	219	81	88	23	0	1899
ASV_333_16S	0	0	0	0	0	0	0	393	79	54	66	0	0	0	0	0	0	0	0	0	0	0	0	592
ASV_334_16S	11	0	0	0	0	0	0	83	330	63	0	0	82	354	0	0	17	118	161	112	276	140	7	1754
ASV_335_16S	0	0	0	0	0	10	146	152	32	78	23	286	44	57	235	268	74	176	176	52	36	29	60	1934
ASV_337_16S	2	1	0	0	0	22	0	5	8	0	0	9	7	20	7	3	2	9	4	7	5	5	3	119
ASV_339_16S	0	0	0	0	0	0	0	28	165	110	0	0	68	664	0	17	0	0	0	0	88	387	0	1527
ASV_340_16S	0	0	0	0	0	82	180	60	0	79	94	227	0	25	274	284	62	55	71	0	0	0	44	1537
ASV_343_16S	5	0	13	16	11	0	4	9	19	40	0	23	13	28	31	110	44	18	120	131	491	244	32	1402
ASV_344_16S	0	0	12	108	0	0	0	79	50	55	597	37	0	0	362	38	0	0	0	39	0	78	47	1502
ASV_345_16S	0	0	0	0	0	0	0	21	0	26	5	20	42	23	22	15	9	6	10	11	7	14	20	251
ASV_347_16S	0	0	0	0	0	0	0	77	217	62	0	0	138	445	0	0	0	45	155	129	94	230	0	1592
ASV_348_16S	0	0	4	5	0	0	0	0	0	38	0	0	60	53	40	24	13	8	19	0	33	0	22	319
ASV_350_16S	0	0	0	0	0	14	0	0	0	0	26	0	0	0	59	485	0	0	0	0	0	0	0	584
ASV_351_16S	14	6	0	0	0	13	10	66	112	70	0	26	276	560	0	0	0	32	117	182	129	90	22	1725
ASV_356_16S	0	0	0	25	14	0	25	0	0	0	19	159	0	0	43	0	48	0	134	487	69	0	0	1023
ASV_357_16S	36	0	0	0	0	0	0	55	36	138	4	16	29	69	20	25	14	22	62	119	188	520	43	1396
ASV_358_16S	0	0	0	0	0	0	0	95	73	289	0	63	0	0	149	199	130	118	138	37	63	94	121	1569
ASV_360_16S	46	0	0	0	0	27	21	0	38	61	0	91	65	62	80	0	13	73	115	251	66	56	101	1166
ASV_361_16S	0	0	0	0	0	0	0	0	55	0	0	47	48	91	0	0	0	23	26	22	31	0	110	453
ASV_362_16S	43	36	85	0	0	0	0	17	68	17	0	28	26	87	10	15	0	38	51	16	46	36	91	710
ASV_363_16S	0	0	0	0	0	0	0	0	27	35	0	0	39	44	0	0	0	0	0	0	0	0	0	145
ASV_364_16S	0	23	0	11	16	0	23	140	37	118	17	9	0	9	7	11	0	10	26	7	5	6	10	485
ASV_365_16S	0	0	0	0	0	0	0	10	0	26	4	25	53	44	5	7	6	0	0	7	6	6	16	215
ASV_368_16S	0	0	35	76	0	65	110	0	79	54	0	96	0	70	117	106	0	64	40	30	46	45	172	1205
ASV_369_16S	0	0	0	0	0	0	0	71	84	199	0	56	54	299	17	0	24	101	151	113	203	106	60	1538
ASV_370_16S	0	0	0	0	0	0	0	40	155	0	0	14	147	746	0	0	0	146	284	108	113	20	0	1773
ASV_376_16S	0	0	0	0	0	0	0	0	0	0	0	89	15	0	0	0	0	13	12	0	0	0	0	129
ASV_377_16S	21	12	0	0	0	0	29	0	0	0	43	0	0	0	57	19	0	0	0	0	0	51	391	623
ASV_378_16S	0	0	39	40	0	0	0	30	74	57	0	40	49	97	64	61	29	55	62	29	72	47	304	1149
ASV_379_16S	156	169	0	0	0	0	0	0	174	34	0	0	0	22	0	0	0	0	0	86	158	383	48	1230
ASV_381_16S	0	0	0	98	0	0	121	94	0	0	332	117	0	0	209	98	0	0	0	0	0	0	137	1206
ASV_382_16S	0	0	0	0	0	0	0	39	95	9	0	71	94	311	0	4	18	313	251	86	54	0	5	1350
ASV_383_16S	57	0	0	0	0	0	0	28	35	39	0	0	0	20	0	0	0	0	33	97	454	493	202	1458
ASV_384_16S	0	0	28	0	0	0	0	0	53	60	0	45	38	95	67	58	0	49	67	0	0	0	211	771
ASV_386_16S	0	0	0	0	0	0	0	0	0	0	53	256	777	81	0	5	0	9	0	42	22	15	18	1278
ASV_387_16S	0	0	0	0	0	0	0	35	147	40	0	26	37	266	12	16	0	77	139	86	144	76	127	1228
ASV_388_16S	45	8	14	0	6	30	0	26	113	122	0	50	84	250	34	0	0	77	139	49	103	47	124	1321
ASV_389_16S	0	0	0	0	0	0	0	0	297	137	0	0	102	563	0	0	0	0	0	102	237	58	0	1496
ASV_390_16S	0	0	0	0	0	0	0	176	123	171	0	9	12	140	0	0	17	20	119	19	48	24	0	878
ASV_392_16S	0	0	0	0	0	0	0	0	0	0	59	476	182	11	0	17	7	24	12	162	169	122	93	1334
ASV_396_16S	0	583	0	0	0	0	0	0	121	0	0	0	31	343	0	0	0	36	72	182	146	39	16	1569
ASV_397_16S	15	0	27	0	0	16	0	0	141	348	0	0	0	0	0	0	0	79	92	25	32	33	85	893
ASV_400_16S	0	0	0	0	0	0	0	14	0	5	9	0	28	22	12	0	8	2	0	12	7	0	15	134
ASV_402_16S	26	0	9	0	0	9	19	30	84	26	9	77	58	136	30	28	20	89	106	49	57	51	211	1124
ASV_401_16S	0	0	24	72	49	94	39	0	0	0	48	66	0	0	118	42	36	102	0	5	0	0	48	743
ASV_406_16S	0	0	0	0	0	0	0	47	170	0	0	17	102	429	0	0	13	69	153	0	157	74	7	1238
ASV_407_16S	0	0	0	23	21	0	70	0	0	0	44	754	0	0	99	135	78	0	5	0	0	0	0	1229
ASV_408_16S	0	297	0	27	54	23	0	0	0	0	52	0	0	0	59	49	0	19	0	0	0	20	230	830
ASV_410_16S	0	0	0	0	0	27	17	8	23	17	0	31	184	78	38	28	46	118	243	126	56	37	0	1077
ASV_411_16S	0	0	0	0	0	0	0	65	145	153	0	0	27	307	0	0	0	238	349	29	33	6	29	1381
ASV_412_16S	0	0	0	0	0	0	0	21	94	345	0	28	0	56	14	36	62	0	133	60	98	17	4	968
ASV_413_16S	0	0	0	0	0	0	0	118	17	154	0	53	0	17	0	0	0	0	0	0	23	14	25	421
ASV_414_16S	0	0	0	47	264	27	36	0	0	0	139	18	0	0	36	55	7	5	0	0	0	0	0	634
ASV_415_16S	0	0	0	0	0	0	0	0	82	26	0	0	37	49	0	0	0	46	509	480	55	179	0	1463
ASV_416_16S	0	0	0	12	15	283	32	0	0	0	71	354	0	10	86	55	33	33	31	15	0	0	0	1030
ASV_421_16S	0	0	0	0	0	0	0	50	183	28	0	24	130	528	0	0	8	87	131	66	122	26	0	1383
ASV_422_16S	57	16	18	0	0	0	0	33	111	32	0	10	69	110	23	0	0	50	110	97	110	85	191	1122
